Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
20171074492,5/8/2018 6:45:00 PM,1,1,0,,N,UNKNOWN,CLEAR,DAYLIGHT,143 GORDON TER,NASHVILLE,TN,EAST,36.21101,-86.76008,99,UNKNOWN MOST HARMFUL EVENT,21,37207,1831,21,1,9,197047,-9658087.9268,4329695.0023
20180000079,1/1/2018 6:26:00 AM,2,0,0,,N,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,BROADWAY & 7TH AVN,NASHVILLE,TN,CENTRA,36.15941,-86.78091,12,MOTOR VEHICLE IN TRANSPORT,22,37203,4085,21,3,5,279117,-9660406.7118,4322578.1699
20180000088,1/1/2018 6:25:00 AM,3,0,0,,Y,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,COUGAR DR & WILCLAY DR,NASHVILLE,TN,WEST,36.1447,-86.87773,14;19;64,PARKED MOTOR VEHICLE;BUILDING;Ran Off Road-Left,23,37209,5023,21,3,5,226175,-9671184.6649,4320550.1791
20180000109,1/1/2018 6:39:00 AM,1,0,0,Y,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,OLD HICKORY BLVD & WHITES CREEK PKE,WHITES CREEK,TN,NORTH,36.27024,-86.82298,30,UTILITY POLE,24,37189,3229,21,2,0,169413,-9665089.9228,4337869.9757
20180000167,1/1/2018 7:12:00 AM,2,1,0,,Y,UNKNOWN,CLEAR,DARK - LIGHTED,NOLENSVILLE PKE & HARDING PL,NASHVILLE,TN,SOUTH,36.0796,-86.72632,12,MOTOR VEHICLE IN TRANSPORT,25,37211,8445,21,3,9,212342,-9654329.7808,4311579.7443
20180000173,1/1/2018 7:00:00 AM,1,0,0,Y,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,HIGHWAY 96 & LITTLE EAST FORK RD,NASHVILLE,TN,WEST,36.00129,-87.02289,38,FENCE,26,37221,4805,21,2,0,493301,-9687343.8022,4300798.8755
20180000174,1/1/2018 6:40:00 AM,1,0,0,,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,OLD HICKORY BLVD & WHITES CREEK PKE,WHITES CREEK,TN,NORTH,36.27021,-86.82301,18,OTHER OBJECT (NOT FIXED),27,37189,3229,21,2,0,156308,-9665093.2623,4337865.8335
20180000193,1/1/2018 7:25:00 AM,2,0,0,,N,ANGLE,CLEAR,DARK - LIGHTED,HAYWOOD LN & EZELL RD,NASHVILLE,TN,SOUTH,36.06959,-86.69391,12,MOTOR VEHICLE IN TRANSPORT,28,37211,8709,21,3,4,179606,-9650721.9161,4310201.0785
20180000200,1/1/2018 7:29:00 AM,3,3,0,,N,Front to Rear,CLEAR,DARK - LIGHTED,DICKERSON PKE & I65 N ENT RAMP,NASHVILLE,TN,EAST,36.23633,-86.75812,12;18,MOTOR VEHICLE IN TRANSPORT;OTHER OBJECT (NOT FIXED),29,37216,1805,21,3,11,151125,-9657869.7406,4333188.9316
20180000258,1/1/2018 7:45:00 AM,2,0,0,,N,,,,S 1ST ST & WOODLAND ST,NASHVILLE,TN,CENTRA,36.16905,-86.77224,,,30,37213,1133,,,,212335,-9659441.5718,4323907.3926
